Fecha,Mes,Month,Title,Employed,MA(5),Tendencia,Serie sin tendencia,Estacionalidad,Residuo,Serie desestacionalizada,,,
ene-90,1,1990 ene.,Retail Trade,13255.8,,,,,,,,mes ,promedio
feb-90,2,1990 feb.,Retail Trade,12966.3,,,,,,,,1,-88.4
mar-90,3,1990 mar.,Retail Trade,12938.2,13056.18,,,,,,,2,-278.5
abr-90,4,1990 abr.,Retail Trade,13012.3,13041.58,,,,,,,3,-243.4
may-90,5,1990 may.,Retail Trade,13108.3,13082.34,,,,,,,4,-163.2
jun-90,6,1990 jun.,Retail Trade,13182.8,13126.6,,,,,,,5,-63.8
jul-90,7,1990 jul.,Retail Trade,13170.1,13146.82,,,,,,,6,8.8
ago-90,8,1990 ago.,Retail Trade,13159.5,13162.2,,,,,,,7,-5.9
sep-90,9,1990 sep.,Retail Trade,13113.4,13218.02,,,,,,,8,-21.1
oct-90,10,1990 oct.,Retail Trade,13185.2,13318.62,,,,,,,9,-118.8
nov-90,11,1990 nov.,Retail Trade,13461.9,13300.38,,,,,,,10,6.9
dic-90,12,1990 dic.,Retail Trade,13673.1,13226.54,,,,,,,11,372.2
ene-91,1,1991 ene.,Retail Trade,13068.3,13126.4,,,,,,,12,562.6
feb-91,2,1991 feb.,Retail Trade,12744.2,12971.42,,,,,,,,
mar-91,3,1991 mar.,Retail Trade,12684.5,12792.92,,,,,,,,
abr-91,4,1991 abr.,Retail Trade,12687,12751.06,12966.15,-279.15,-163.1647465,-115.98,12850.16475,,,
may-91,5,1991 may.,Retail Trade,12780.6,12772.04,12951.79,-171.19,-63.84942396,-107.34,12844.44942,,,
jun-91,6,1991 jun.,Retail Trade,12859,12809.4,12945.90,-86.90,8.817741935,-95.72,12850.18226,,,
jul-91,7,1991 jul.,Retail Trade,12849.1,12836.6,12944.36,-95.26,-5.924133811,-89.34,12855.02413,,,
ago-91,8,1991 ago.,Retail Trade,12871.3,12857.6,12948.73,-77.43,-21.11875747,-56.31,12892.41876,,,
sep-91,9,1991 sep.,Retail Trade,12823,12915.96,12958.52,-135.52,-118.8369176,-16.68,12941.83692,,,
oct-91,10,1991 oct.,Retail Trade,12885.6,13024.36,12947.76,-62.16,6.856750299,-69.01,12878.74325,,,
nov-91,11,1991 nov.,Retail Trade,13150.8,13007.82,12932.65,218.15,372.1922342,-154.04,12778.60777,,,
dic-91,12,1991 dic.,Retail Trade,13391.1,12960.44,12916.35,474.75,562.5726404,-87.82,12828.52736,,,
ene-92,1,1992 ene.,Retail Trade,12788.6,12892.88,12904.48,-115.88,-88.36786141,-27.51,12876.96786,,,
feb-92,2,1992 feb.,Retail Trade,12586.1,12789.98,12894.12,-308.02,-278.4622461,-29.56,12864.56225,,,
mar-92,3,1992 mar.,Retail Trade,12547.8,12659.84,12878.42,-330.62,-243.4444444,-87.17,12791.24444,,,
abr-92,4,1992 abr.,Retail Trade,12636.3,12667.14,12857.00,-220.70,-163.1647465,-57.54,12799.46475,,,
may-92,5,1992 may.,Retail Trade,12740.4,12710.9,12856.35,-115.95,-63.84942396,-52.10,12804.24942,,,
jun-92,6,1992 jun.,Retail Trade,12825.1,12763.46,12866.17,-41.07,8.817741935,-49.89,12816.28226,,,
jul-92,7,1992 jul.,Retail Trade,12804.9,12792.98,12882.00,-77.10,-5.924133811,-71.18,12810.82413,,,
ago-92,8,1992 ago.,Retail Trade,12810.6,12822.98,12906.85,-96.25,-21.11875747,-75.14,12831.71876,,,
sep-92,9,1992 sep.,Retail Trade,12783.9,12887.48,12938.30,-154.40,-118.8369176,-35.57,12902.73692,,,
oct-92,10,1992 oct.,Retail Trade,12890.4,13008.86,12947.78,-57.38,6.856750299,-64.24,12883.54325,,,
nov-92,11,1992 nov.,Retail Trade,13147.6,13016.6,12953.13,194.47,372.1922342,-177.72,12775.40777,,,
dic-92,12,1992 dic.,Retail Trade,13411.8,13000.16,12958.94,452.86,562.5726404,-109.71,12849.22736,,,
ene-93,1,1993 ene.,Retail Trade,12849.3,12952.94,12969.98,-120.68,-88.36786141,-32.31,12937.66786,,,
feb-93,2,1993 feb.,Retail Trade,12701.7,12872.48,12983.19,-281.49,-278.4622461,-3.02,12980.16225,,,
mar-93,3,1993 mar.,Retail Trade,12654.3,12762.96,12992.16,-337.86,-243.4444444,-94.41,12897.74444,,,
abr-93,4,1993 abr.,Retail Trade,12745.3,12788.1,12995.22,-249.92,-163.1647465,-86.75,12908.46475,,,
may-93,5,1993 may.,Retail Trade,12864.2,12849.6,13019.76,-155.56,-63.84942396,-91.71,12928.04942,,,
jun-93,6,1993 jun.,Retail Trade,12975,12928.38,13051.86,-76.86,8.817741935,-85.68,12966.18226,,,
jul-93,7,1993 jul.,Retail Trade,13009.2,12989.04,13089.88,-80.68,-5.924133811,-74.76,13015.12413,,,
ago-93,8,1993 ago.,Retail Trade,13048.2,13051.24,13136.99,-88.79,-21.11875747,-67.67,13069.31876,,,
sep-93,9,1993 sep.,Retail Trade,13048.6,13147.74,13189.89,-141.29,-118.8369176,-22.46,13167.43692,,,
oct-93,10,1993 oct.,Retail Trade,13175.2,13297,13220.54,-45.34,6.856750299,-52.20,13168.34325,,,
nov-93,11,1993 nov.,Retail Trade,13457.5,13317.92,13245.53,211.97,372.1922342,-160.22,13085.30777,,,
dic-93,12,1993 dic.,Retail Trade,13755.5,13311.18,13269.03,486.47,562.5726404,-76.10,13192.92736,,,
ene-94,1,1994 ene.,Retail Trade,13152.8,13286.42,13297.10,-144.30,-88.36786141,-55.94,13241.16786,,,
feb-94,2,1994 feb.,Retail Trade,13014.9,13227.98,13325.07,-310.17,-278.4622461,-31.71,13293.36225,,,
mar-94,3,1994 mar.,Retail Trade,13051.4,13135.88,13348.52,-297.12,-243.4444444,-53.68,13294.84444,,,
abr-94,4,1994 abr.,Retail Trade,13165.3,13191.1,13363.57,-198.27,-163.1647465,-35.10,13328.46475,,,
may-94,5,1994 may.,Retail Trade,13295,13285.3,13397.73,-102.73,-63.84942396,-38.88,13358.84942,,,
jun-94,6,1994 jun.,Retail Trade,13428.9,13384.9,13436.19,-7.29,8.817741935,-16.10,13420.08226,,,
jul-94,7,1994 jul.,Retail Trade,13485.9,13468.12,13479.79,6.11,-5.924133811,12.03,13491.82413,,,
ago-94,8,1994 ago.,Retail Trade,13549.4,13554.38,13531.46,17.94,-21.11875747,39.06,13570.51876,,,
sep-94,9,1994 sep.,Retail Trade,13581.4,13687.96,13587.08,-5.68,-118.8369176,113.15,13700.23692,,,
oct-94,10,1994 oct.,Retail Trade,13726.3,13866.84,13617.82,108.48,6.856750299,101.63,13719.44325,,,
nov-94,11,1994 nov.,Retail Trade,14096.8,13912,13641.09,455.71,372.1922342,83.52,13724.60777,,,
dic-94,12,1994 dic.,Retail Trade,14380.3,13911.62,13663.67,716.63,562.5726404,154.06,13817.72736,,,
ene-95,1,1995 ene.,Retail Trade,13775.2,13874.2,13688.28,86.92,-88.36786141,175.28,13863.56786,,,
feb-95,2,1995 feb.,Retail Trade,13579.5,13785.66,13714.69,-135.19,-278.4622461,143.28,13857.96225,,,
mar-95,3,1995 mar.,Retail Trade,13539.2,13661.1,13735.65,-196.45,-243.4444444,46.99,13782.64444,,,
abr-95,4,1995 abr.,Retail Trade,13654.1,13680.96,13747.93,-93.83,-163.1647465,69.34,13817.26475,,,
may-95,5,1995 may.,Retail Trade,13757.5,13740.7,13780.65,-23.15,-63.84942396,40.69,13821.34942,,,
jun-95,6,1995 jun.,Retail Trade,13874.5,13814.5,13817.38,57.12,8.817741935,48.30,13865.68226,,,
jul-95,7,1995 jul.,Retail Trade,13878.2,13862.48,13858.55,19.65,-5.924133811,25.57,13884.12413,,,
ago-95,8,1995 ago.,Retail Trade,13908.2,13912.2,13907.80,0.40,-21.11875747,21.52,13929.31876,,,
sep-95,9,1995 sep.,Retail Trade,13894,14006.7,13961.39,-67.39,-118.8369176,51.45,14012.83692,,,
oct-95,10,1995 oct.,Retail Trade,14006.1,14148.76,13987.14,18.96,6.856750299,12.10,13999.24325,,,
nov-95,11,1995 nov.,Retail Trade,14347,14152.66,14004.48,342.52,372.1922342,-29.67,13974.80777,,,
dic-95,12,1995 dic.,Retail Trade,14588.5,14120,14020.30,568.20,562.5726404,5.63,14025.92736,,,
ene-96,1,1996 ene.,Retail Trade,13927.7,14068.4,14037.63,-109.93,-88.36786141,-21.56,14016.06786,,,
feb-96,2,1996 feb.,Retail Trade,13730.7,13961.34,14054.26,-323.56,-278.4622461,-45.10,14009.16225,,,
mar-96,3,1996 mar.,Retail Trade,13748.1,13842.38,14062.09,-313.99,-243.4444444,-70.54,13991.54444,,,
abr-96,4,1996 abr.,Retail Trade,13811.7,13878.34,14061.26,-249.56,-163.1647465,-86.40,13974.86475,,,
may-96,5,1996 may.,Retail Trade,13993.7,13959.4,14081.16,-87.46,-63.84942396,-23.61,14057.54942,,,
jun-96,6,1996 jun.,Retail Trade,14107.5,14043.24,14106.32,1.18,8.817741935,-7.64,14098.68226,,,
jul-96,7,1996 jul.,Retail Trade,14136,14111.6,14138.38,-2.38,-5.924133811,3.55,14141.92413,,,
ago-96,8,1996 ago.,Retail Trade,14167.3,14178.4,14178.70,-11.40,-21.11875747,9.72,14188.41876,,,
sep-96,9,1996 sep.,Retail Trade,14153.5,14295.3,14224.47,-70.97,-118.8369176,47.86,14272.33692,,,
oct-96,10,1996 oct.,Retail Trade,14327.7,14459.34,14243.23,84.47,6.856750299,77.62,14320.84325,,,
nov-96,11,1996 nov.,Retail Trade,14692,14471.3,14255.00,437.00,372.1922342,64.80,14319.80777,,,
dic-96,12,1996 dic.,Retail Trade,14956.2,14445.28,14265.26,690.94,562.5726404,128.37,14393.62736,,,
ene-97,1,1997 ene.,Retail Trade,14227.1,14387.72,14279.06,-51.96,-88.36786141,36.40,14315.46786,,,
feb-97,2,1997 feb.,Retail Trade,14023.4,14273.06,14294.09,-270.69,-278.4622461,7.78,14301.86225,,,
mar-97,3,1997 mar.,Retail Trade,14039.9,14130.2,14301.25,-261.35,-243.4444444,-17.90,14283.34444,,,
abr-97,4,1997 abr.,Retail Trade,14118.7,14152.64,14301.68,-182.98,-163.1647465,-19.82,14281.86475,,,
may-97,5,1997 may.,Retail Trade,14241.9,14218.9,14323.92,-82.02,-63.84942396,-18.17,14305.74942,,,
jun-97,6,1997 jun.,Retail Trade,14339.3,14289.32,14352.01,-12.71,8.817741935,-21.52,14330.48226,,,
jul-97,7,1997 jul.,Retail Trade,14354.7,14337.48,14384.18,-29.48,-5.924133811,-23.56,14360.62413,,,
ago-97,8,1997 ago.,Retail Trade,14392,14395.7,14426.21,-34.21,-21.11875747,-13.09,14413.11876,,,
sep-97,9,1997 sep.,Retail Trade,14359.5,14508.66,14471.19,-111.69,-118.8369176,7.14,14478.33692,,,
oct-97,10,1997 oct.,Retail Trade,14533,14673.02,14490.47,42.53,6.856750299,35.67,14526.14325,,,
nov-97,11,1997 nov.,Retail Trade,14904.1,14685.78,14504.38,399.72,372.1922342,27.52,14531.90777,,,
dic-97,12,1997 dic.,Retail Trade,15176.5,14662.54,14517.53,658.97,562.5726404,96.40,14613.92736,,,
ene-98,1,1998 ene.,Retail Trade,14455.8,14601.16,14535.03,-79.23,-88.36786141,9.14,14544.16786,,,
feb-98,2,1998 feb.,Retail Trade,14243.3,14484.74,14551.17,-307.87,-278.4622461,-29.41,14521.76225,,,
mar-98,3,1998 mar.,Retail Trade,14226.1,14343.8,14558.88,-332.78,-243.4444444,-89.33,14469.54444,,,
abr-98,4,1998 abr.,Retail Trade,14322,14366.42,14559.53,-237.53,-163.1647465,-74.36,14485.16475,,,
may-98,5,1998 may.,Retail Trade,14471.8,14438.18,14584.18,-112.38,-63.84942396,-48.53,14535.64942,,,
jun-98,6,1998 jun.,Retail Trade,14568.9,14516.36,14614.50,-45.60,8.817741935,-54.42,14560.08226,,,
jul-98,7,1998 jul.,Retail Trade,14602.1,14572.24,14649.85,-47.75,-5.924133811,-41.82,14608.02413,,,
ago-98,8,1998 ago.,Retail Trade,14617,14627,14694.56,-77.56,-21.11875747,-56.45,14638.11876,,,
sep-98,9,1998 sep.,Retail Trade,14601.4,14736.1,14745.24,-143.84,-118.8369176,-25.01,14720.23692,,,
oct-98,10,1998 oct.,Retail Trade,14745.6,14893.34,14770.52,-24.92,6.856750299,-31.78,14738.74325,,,
nov-98,11,1998 nov.,Retail Trade,15114.4,14910.98,14788.70,325.70,372.1922342,-46.50,14742.20777,,,
dic-98,12,1998 dic.,Retail Trade,15388.3,14904.14,14806.52,581.78,562.5726404,19.20,14825.72736,,,
ene-99,1,1999 ene.,Retail Trade,14705.2,14870,14830.09,-124.89,-88.36786141,-36.52,14793.56786,,,
feb-99,2,1999 feb.,Retail Trade,14567.2,14786.3,14849.84,-282.64,-278.4622461,-4.18,14845.66225,,,
mar-99,3,1999 mar.,Retail Trade,14574.9,14674.24,14860.70,-285.80,-243.4444444,-42.35,14818.34444,,,
abr-99,4,1999 abr.,Retail Trade,14695.9,14719.4,14862.81,-166.91,-163.1647465,-3.74,14859.06475,,,
may-99,5,1999 may.,Retail Trade,14828,14801.24,14889.17,-61.17,-63.84942396,2.68,14891.84942,,,
jun-99,6,1999 jun.,Retail Trade,14931,14884.5,14921.30,9.70,8.817741935,0.88,14922.18226,,,
jul-99,7,1999 jul.,Retail Trade,14976.4,14938.02,14958.62,17.78,-5.924133811,23.70,14982.32413,,,
